version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,tuanson,"N/A",v0+pd692e9b26f35+t0d4db2a2f1a8,pd692e9b26f35,t0d4db2a2f1a8,"Baseline","Initial baseline run",case_accuracy,0,0.9,runs/v0_B_base_openai_20260729T112659707849.json
v1,tuanson,"system_prompt.md",v1+p99982840ae21+t15d4eb8741e1,p99982840ae21,t15d4eb8741e1,"Fix M06","Prompt LLM to drop unused tool",case_accuracy,0.9,0.95,runs/v1_B_base_openai_20260729T113202013369.json
v2,ntdung175,"tools.yaml",v2+p99982840ae21+t07113bc206a4,p99982840ae21,t07113bc206a4,"Fix R12 response_type","Make response_type required to force output",case_accuracy,0.95,0.95,runs/v2_B_base_openrouter_20260729T113920195764.json
v3,tuanson,"system_prompt.md",v3+p61cd1fb21ffe+t19b067ea967e,p61cd1fb21ffe,t19b067ea967e,"Fix confirmation boundary","Always use yes_no confirmation first for send/post/publish/broadcast requests, even when content is missing",case_accuracy,0.95,0.9,runs/v3_B_base_openai_20260729T120406963429.json
